Time(s),Volume(dB),Delta(dB)
547.5280416666667,3.0,0.0
547.5466180555555,-96.0,-99.0
547.8516666666667,-96.0,0.0
547.8666666666667,-96.0,0.0
548.7,-96.0,0.0
548.7016666666667,-96.0,0.0
548.7588472222222,-96.0,0.0
548.7798263888889,8.0,104.0
549.2461458333333,8.0,0.0
549.2997652777777,-96.0,-104.0
550.1402569444444,-96.0,0.0
550.1569236111111,2.0,98.0
550.2,2.0,0.0
550.2066666666667,-8.0,-10.0
550.2813472222222,-8.0,0.0
550.3333333333334,2.0,10.0
550.426025,2.0,0.0
550.4356138888888,-16.0,-18.0
550.4559361111111,-16.0,0.0
550.4745347222222,2.0,18.0
550.6095013888889,2.0,0.0
550.6269041666667,-96.0,-98.0
550.665,-96.0,0.0
550.6866944444445,7.0,103.0
550.8197430555556,7.0,0.0
550.8407152777778,-96.0,-103.0
550.947125,-96.0,0.0
550.9666666666667,0.0,96.0
551.3666666666667,-1.92865e-15,-1.92865e-15
551.3699986111111,-6.0,-5.999999999999998
551.4300013888889,-6.0,0.0
551.45425,0.0,6.0
551.5223111111111,-9.64327e-16,-9.64327e-16
551.5444680555555,-22.0,-22.0
551.5786736111111,-22.0,0.0
551.5994361111111,0.0,22.0
551.8725444444444,10.0,10.0
551.8887375,-96.0,-106.0
552.3756402777777,-96.0,0.0
552.3954097222222,5.0,101.0
552.4333333333333,5.0,0.0
552.4366652777778,-1.0,-6.0
552.4764486111111,-1.0,0.0
552.5,5.0,6.0
552.6506305555556,5.0,0.0
552.669998611111,-10.0,-15.0
552.6881680555556,-10.0,0.0
552.7242694444444,5.0,15.0
553.0,5.0,0.0
553.0291291666666,-19.0,-24.0
553.0542708333334,-19.0,0.0
553.0666666666667,5.0,24.0
553.2287569444444,5.0,0.0
553.2454236111112,-96.0,-101.0
553.5833333333334,-96.0,0.0
553.6,-96.0,0.0
556.5,-96.0,0.0
556.5016666666667,-96.0,0.0
556.5602777777777,-96.0,0.0
556.5819722222222,2.0,98.0
556.6110222222222,2.0,0.0
556.635,-21.0,-23.0
556.6482666666667,-21.0,0.0
556.6666666666666,2.0,23.0
557.0333333333333,2.0,0.0
557.0366652777777,-7.0,-9.0
557.0966680555556,-7.0,0.0
557.1,2.0,9.0
557.1783861111111,2.0,0.0
557.2016666666667,-13.0,-15.0
557.2414277777777,-13.0,0.0
557.2591305555555,2.0,15.0
557.3333333333334,2.0,0.0
557.335,-96.0,-98.0
557.3768527777778,-96.0,0.0
557.4057111111111,2.0,98.0
557.5345944444445,2.0,0.0
557.545325,-24.0,-26.0
557.5697472222222,-24.0,0.0
557.6,2.0,26.0
557.9466388888889,2.0,0.0
557.9683055555555,-96.0,-98.0
558.8775972222222,-96.0,0.0
558.9187861111111,3.0,99.0
558.9297138888888,3.0,0.0
558.9500527777777,-96.0,-99.0
559.0519055555555,-96.0,0.0
559.0945555555555,3.0,99.0
559.2415666666667,3.0,0.0
559.2683333333333,-29.0,-32.0
559.287875,-29.0,0.0
559.3,3.0,32.0
559.5556527777778,3.0,0.0
559.5735208333333,-96.0,-99.0
559.7978680555556,-96.0,0.0
559.8631291666667,1.0,97.0
559.9421375,1.0,0.0
559.9609708333334,-41.0,-42.0
559.9766291666666,-41.0,0.0
560.0135902777778,3.0,44.0
560.0908027777778,3.0,0.0
560.1112944444444,-27.0,-30.0
560.1350194444444,-27.0,0.0
560.1687583333334,3.0,30.0
560.5190277777778,3.0,0.0
560.5342777777778,-96.0,-99.0
560.6886111111111,-96.0,0.0
560.710298611111,2.0,98.0
560.9401722222223,2.0,0.0
560.9683333333334,-15.0,-17.0
560.9983333333333,-15.0,0.0
561.0257972222222,4.0,19.0
561.4645208333334,4.0,0.0
561.4833402777778,-96.0,-100.0
561.6883333333334,-96.0,0.0
561.7,-96.0,0.0
569.3333333333334,-96.0,0.0
569.375,-96.0,0.0
569.4333333333333,-96.0,0.0
569.435,-96.0,0.0
569.4945069444444,-96.0,0.0
569.5217430555556,-96.0,0.0
569.6320722222222,-96.0,0.0
569.6420722222222,-85.0,11.0
569.79,-85.0,0.0
569.835,-96.0,-11.0
569.8379875,-96.0,0.0
569.8687583333333,-96.0,0.0
569.9492152777777,-96.0,0.0
569.9692152777777,-96.0,0.0
570.125,-96.0,0.0
570.1666666666666,-96.0,0.0
570.8156472222222,-96.0,0.0
570.8649305555556,2.0,98.0
570.9450527777777,2.0,0.0
570.9683333333334,-18.0,-20.0
570.9906638888889,-18.0,0.0
571.0,2.0,20.0
571.1333333333333,2.0,0.0
571.14,-9.0,-11.0
571.2056166666666,-9.0,0.0
571.2666666666667,1.0,10.0
571.787125,1.0,0.0
571.802125,-96.0,-97.0
572.1765555555555,-96.0,0.0
572.2055,2.0,98.0
572.2415666666667,2.0,0.0
572.2699986111111,-40.0,-42.0
572.3216347222223,-40.0,0.0
572.3668,2.0,42.0
572.5545069444445,2.0,0.0
572.5745069444445,-96.0,-98.0
573.6383402777777,-96.0,0.0
573.6583402777778,2.0,98.0
573.9333333333333,2.0,0.0
573.9366652777778,-20.0,-22.0
573.9618069444444,-20.0,0.0
574.0,2.0,22.0
574.2417111111112,2.0,0.0
574.2548222222222,-38.0,-40.0
574.2807402777778,-38.0,0.0
574.3114444444444,1.0,39.0
574.7839638888889,1.0,0.0
574.8016666666666,-22.0,-23.0
574.8407305555555,-22.0,0.0
574.8549472222222,1.0,23.0
574.9773277777778,1.0,0.0
574.9897236111111,-21.0,-22.0
575.0316666666666,-21.0,0.0
575.0562222222222,3.0,24.0
575.1333333333333,3.0,0.0
575.1366652777778,-18.0,-21.0
575.1611097222222,-18.0,0.0
575.2,2.0,20.0
575.2596986111112,2.0,0.0
575.2713791666666,-26.0,-28.0
575.2949777777778,-26.0,0.0
575.3361944444445,2.0,28.0
575.4459236111111,2.0,0.0
575.4604652777778,-27.0,-29.0
575.4904652777777,-27.0,0.0
575.5078680555556,5.0,32.0
575.8223194444445,5.0,0.0
575.8456513888889,-96.0,-101.0
576.4544875,-96.0,0.0
576.4778194444444,2.0,98.0
576.5478416666666,2.0,0.0
576.5699986111111,-11.0,-13.0
576.6007180555556,-11.0,0.0
576.6333333333333,2.0,13.0
576.7383513888889,2.0,0.0
